ZIPCODE,OBJECTID
90001,1
90002,2
90003,3
90004,4
90005,5
90006,6
90007,7
90008,8
90010,9
90011,10
90012,12
90014,13
90015,14
90016,15
90017,16
90018,17
90019,18
90020,19
90021,20
90022,21
90023,22
90024,23
90025,24
90026,25
90027,26
90028,27
90029,28
90031,29
90032,30
90033,31
90034,32
90035,33
90036,34
90037,35
90038,36
90039,37
90040,38
90041,39
90042,40
90043,41
90044,42
90045,43
90046,44
90047,45
90048,46
90049,47
90056,48
90057,49
90058,50
90059,51
90061,52
90062,53
90063,54
90064,55
90065,56
90066,57
90067,58
90068,59
90069,60
90071,61
90073,62
90077,63
90089,64
90094,65
90095,66
90201,67
90210,68
90211,69
90212,70
90220,71
90221,72
90222,73
90230,74
90232,75
90240,76
90241,77
90242,78
90245,79
90247,80
90248,81
90249,82
90250,83
90254,84
90255,85
90260,86
90261,87
90262,88
90263,89
90265,90
90266,91
90270,92
90272,93
90274,94
90275,95
90277,96
90278,97
90280,98
90290,99
90291,100
90292,101
90293,102
90301,103
90302,104
90303,105
90304,106
90305,107
90401,108
90402,109
90403,110
90404,111
90405,112
90501,113
90502,114
90503,115
90504,116
90505,117
90506,118
90601,119
90602,120
90603,121
90604,122
90605,123
90606,124
90623,125
90630,126
90631,127
90638,128
90639,129
90640,130
90650,131
90660,132
90670,133
90701,134
90703,135
90706,137
90710,138
90712,139
90713,140
90715,141
90716,142
90717,143
90723,144
90731,145
90732,146
90744,147
90745,148
90746,149
90747,150
90755,151
90802,152
90803,153
90804,154
90805,155
90806,156
90807,157
90808,158
90810,159
90813,160
90814,161
90815,162
90822,163
90831,164
90840,165
90846,166
91001,167
91006,168
91007,169
91008,170
91010,171
91011,172
91016,173
91020,174
91023,175
91024,176
91030,177
91040,178
91042,179
91046,180
91101,181
91103,182
91104,183
91105,184
91106,185
91107,186
91108,187
91125,188
91126,189
91201,190
91202,191
91203,192
91204,193
91205,194
91206,195
91207,196
91208,197
91210,198
91214,199
91301,200
91302,201
91303,202
91304,203
91306,204
91307,205
91311,206
91316,207
91324,209
91325,210
91326,211
91330,212
91331,213
91335,214
91340,215
91342,216
91343,217
91344,218
91345,219
91350,220
91351,221
91352,222
91354,223
91355,224
91356,225
91361,226
91362,227
91364,228
91367,229
91381,230
91382,231
91384,232
91387,233
91390,234
91401,235
91402,236
91403,237
91405,238
91406,239
91411,240
91423,241
91436,242
91501,243
91502,244
91504,245
91505,246
91506,247
91521,248
91522,249
91523,250
91601,251
91602,252
91604,253
91605,254
91606,255
91607,256
91608,257
91702,258
91706,259
91709,260
91710,261
91711,262
91722,263
91723,264
91724,265
91731,266
91732,267
91733,268
91740,269
91741,270
91744,271
91745,272
91746,273
91748,274
91750,275
91754,276
91755,277
91759,278
91765,279
91766,280
91767,281
91768,282
91770,283
91773,284
91775,285
91776,286
91780,287
91789,288
91790,289
91791,290
91792,291
91801,292
91803,293
92397,294
92821,295
92823,296
93243,297
93510,298
93523,299
93532,300
93534,301
93535,302
93536,303
93543,304
93544,305
93550,306
93551,307
93552,308
93553,309
93563,310
93591,311
90704,1147
90802,1547
90803,1548
90803,1549
90803,1550
91321,1966
90013,2769
90090,2771
