Airport Name,Code,Latitude,Longitude,Zip Code
Hollywood Burbank Airport,BUR,34.200698852539055,-118.35900115966795,91505
Long Beach Airport,LGB,33.81769943,-118.15200039999999,90808
Brackett Field,POC,34.091598510742,-117.78199768066001,91750
Camarillo Airport,CMA,34.213699340820305,-119.09400177001952,93010
Chino Airport,CNO,33.97470093,-117.637001,91710
El Monte Airport,EMT,34.086102000000004,-118.035004,91731
Fullerton Municipal Airport,FUL,33.8720016479,-117.980003357,92833
General William J. Fox Airfield,WJF,34.74110031,-118.21900179999999,93536
Hawthorne Municipal Airport,HHR,33.922798,-118.334999,90250
Oxnard Airport,OXR,34.200801849365,-119.20700073241998,93030
Palmdale Regional Airport,PMD,34.62939835,-118.08499909999999,93550
Riverside Municipal Airport,RAL,33.95190048,-117.4449997,92504
Santa Monica Airport,SMO,34.015800476100004,-118.45099639899999,90405
Southern California Logistics Airport,VCV,34.597499847399995,-117.383003235,92394
Van Nuys Airport,VNY,34.209800720215,-118.48999786376999,91406
Whiteman Airport,WHP,34.2593002319,-118.413002014,91331
Zamperini Field,TOA,33.803398132324,-118.33999633789,90505
Agua Dulce Airpark,,34.5038813,-118.3136901,91390
Apple Valley Airport,APV,34.5733,-117.1904,92307
Cable Airport,CCB,34.1115989685,-117.68800354,91786
Catalina Airport,AVX,33.4049,-118.416,90704
Compton/Woodley Airport,CPM,33.887329784,-118.239499042,90220
Corona Municipal Airport,AJO,33.891996432,-117.601497594,92880
Flabob Airport,RIR,33.989700317382805,-117.41100311279295,92509
Perris Valley Airport,,33.7587802982,-117.218065794,92570
Relands Municipal Airport,REI,34.08530044555664,-117.14600372314452,92374
Santa Barbara Airport,SBA,34.42620087,-119.8399963,93117
Rincon Island Vertiport,,34.3477,-119.4453,31000
San Diego International Airport,SAN,32.7336006165,-117.190002441,92101
Los Angeles Airport,LAX,33.942791,-118.410042,90045
